RegionID,RegionName,ZHVI
137634,Burnside,139033.83333333334
137841,Clearing,246129.83333333334
138129,Dunning,294552.4166666667
138166,East Side,132832.33333333334
138261,Englewood,53393.166666666664
138732,Hegewisch,135495.5
139408,McKinley Park,263932.9166666667
140024,Pullman,133982.91666666666
140437,South Chicago,117142.25
140440,South Deering,104284.58333333333
140913,West Pullman,92588.83333333333
269566,Albany Park,344270.6666666667
269568,Archer Heights,217370.5
269570,Ashburn,197536.0
269571,Gresham,150008.25
269572,Avalon Park,167166.33333333334
269573,Avondale,420379.9166666667
269576,Chicago Lawn,188789.83333333334
269577,East Garfield Park,162175.0
269578,Edgewater,242895.33333333334
269579,Edison Park,399751.8333333333
269580,Forest Glen,397720.25
269581,Fuller Park,121215.5
269582,Gage Park,185517.41666666666
269584,Garfield Ridge,259107.08333333334
269585,Humboldt Park,324778.4166666667
269586,Hyde Park,364957.9166666667
269587,Irving Park,450895.9166666667
269588,Jefferson Park,338928.0
269589,Lake View,541659.0833333334
269590,Lincoln Park,578650.0
269591,Lincoln Square,454493.5833333333
269592,Logan Square,427836.5
269593,The Loop,384046.75
269595,Morgan Park,155844.83333333334
269596,Mount Greenwood,246820.75
269597,Near North,393849.8333333333
269599,Near West Side,406774.5
269600,North Center,774159.6666666666
269602,Norwood Park East,364665.6666666667
269603,O'Hare,292346.9166666667
269605,Rogers Park,215471.16666666666
269608,South Shore,117038.58333333333
269609,Uptown,302627.6666666667
269610,Washington Heights,160773.58333333334
269611,West Elsdon,209138.16666666666
269612,West Englewood,70965.5
269613,West Garfield Park,135656.58333333334
269614,West Lawn,218840.0
269615,West Town,507358.3333333333
272951,Beverly,347130.9166666667
273035,Bridgeport,381498.4166666667
273040,Brighton Park,192009.58333333334
273111,Calumet Heights,167552.91666666666
273222,Chatham,180667.91666666666
273964,Hermosa,274939.6666666667
274178,Kenwood,315080.4166666667
274579,Montclare,280997.8333333333
274850,Oakland,323314.25
275083,Portage Park,330711.25
275192,Riverdale,70175.0
275251,Roseland,85285.58333333333
275927,Washington Park,122139.0
276138,Woodlawn,168842.83333333334
276349,Grand Crossing,115055.91666666667
276477,North Park,353255.8333333333
